,Product,Cost
0,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","₹1,299"
1,Plus Shine i12s_MA05 Bluetooth Headset,₹370
2,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","₹1,299"
3,Noise Buds VS102 Truly Wireless Bluetooth Headset,"₹1,299"
4,TECHFIRE L21 Wireless Earphone Mini Bluetooth 5.0 Headp...,₹499
5,Boult Audio Airbass Truebuds Bluetooth Headset,"₹1,299"
6,Plus Shine Tws Blutooth headset with Mic and Touch Blue...,₹399
7,Mivi DuoPods M20 True Wireless Bluetooth Headset,"₹1,199"
8,AGAM AG-41 & @ With Wireless Charging Case Bluetooth Bl...,₹502
9,Plus Shine TWS Wireless Bluetooth Earphone Bluetooth He...,₹369
10,TECHFIRE AF_1 L21TWS Bluetooth 5.0 Earphones Wireless B...,₹499
11,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"₹1,999"
12,fiado Gaming Earpods M5 cool led touch control low late...,₹999
13,Boult Audio Airbass Truebuds Bluetooth Headset,"₹1,299"
14,"icall i12 TWS with Charging Case , Smart Earphone HD So...",₹420
15,Mivi DuoPods M20 True Wireless Bluetooth Headset,"₹1,199"
16,PHILIPS TAT1215BK (TWS) with IPX4 Splash-Proof Design B...,"₹1,699"
17,Plus Shine Ture Wireless Bluetooth Tws Headphone Blueto...,₹369
18,jiyara iPRO 3 HIGH BASS Bluetooth Headset,₹539
19,TECHFIRE A6S ear buds True Wireless Earbuds EARPODS Blu...,₹499
20,kw brands INPOD 12 Bluetooth Headset,₹400
21,Plus Shine i12s_MA04 Bluetooth Headset,₹349
22,Synom Air buds i12 white compatible all iOs and Android...,₹649
23,Mivi DuoPods M20 True Wireless Bluetooth Headset,"₹1,199"
24,Allmusic Grostar i7-Mini Supper Dynamic Sound All Mobil...,₹322
25,Cepheus Earbuds Earpods Pro V4 TWS Bluetooth Headset,₹634
26,Boult Audio AirBass Combuds Bluetooth Headset,"₹1,299"
27,boAt Airdopes 461 Bluetooth Headset,"₹2,499"
28,KENCLASSIC Wireless Earphones Headphone earbuds i12_2 P...,₹479
29,Plus Shine Blutooth headset with Mic and Touch Sensor B...,₹554
30,SONY WF-XB700 With 18 Hours Battery Life Bluetooth Head...,"₹7,990"
31,TECHFIRE HTK-6 Wireless Earphone Mini Bluetooth 5.0 Hea...,₹699
32,kw brands INPOD 12 Bluetooth Headset,₹423
33,SONY WF-XB700 With 18 Hours Battery Life Bluetooth Head...,"₹7,990"
34,boAt Airdopes 461 Bluetooth Headset,"₹2,499"
35,Widehaven 2274weds5t InPods 12 Wireless Earbuds Touch F...,₹599
36,sneh enterprises TWS i12 Earpods Bluetooth Wireless Ear...,₹448
37,Jabra Elite 75t With Active Noise Cancellation enabled ...,"₹11,999"
38,fiado Phantom Gaming EarPods BT5.0 Noise Reduction Dual...,"₹1,099"
39,KENCLASSIC TWS i12_1 Twins Wireless Bluetooth Earbuds E...,₹488
